1.0995,1.01
1.1982,1.0259
1.2958,1.0477
1.3919,1.0754
1.4862,1.1087
1.5783,1.1477
1.6679,1.1921
1.7547,1.2417
1.8383,1.2965
1.9185,1.3563
1.995,1.4207
2.0675,1.4896
2.1357,1.5627
2.1994,1.6398
2.2584,1.7205
2.3125,1.8047
2.3613,1.8919
2.4049,1.9819
2.443,2.0744
2.4755,2.169
2.5022,2.2653
2.5232,2.3631
2.5382,2.462
2.5472,2.5616
2.5503,2.6615
2.5474,2.7615
2.5385,2.8611
2.5236,2.96
2.5029,3.0578
2.4763,3.1542
2.4439,3.2488
2.406,3.3413
2.3626,3.4314
2.3138,3.5187
2.2599,3.603
2.2011,3.6838
2.1375,3.761
2.0694,3.8342
1.997,3.9032
1.9206,3.9677
1.8405,4.0276
1.7569,4.0825
1.6702,4.1324
1.5807,4.1769
1.4887,4.216
1.3944,4.2495
1.2984,4.2773
1.2008,4.2993
1.1021,4.3153
1.0026,4.3255
0.90273,4.3296
0.80275,4.3278
0.70306,4.32
0.60402,4.3062
0.50598,4.2865
0.4093,4.2609
0.31432,4.2296
0.2214,4.1927
0.13086,4.1502
0.043021,4.1024
-0.041789,4.0494
-0.12327,3.9914
-0.20113,3.9287
-0.27508,3.8614
-0.34487,3.7898
-0.41023,3.7141
-0.47094,3.6346
-0.52677,3.5516
-0.57753,3.4655
-0.62303,3.3764
-0.66311,3.2848
-0.69763,3.191
-0.72645,3.0952
-0.74948,2.9979
-0.76664,2.8994
-0.77785,2.8
-0.78309,2.7002
-0.78233,2.6002
-0.77557,2.5004
-0.76284,2.4012
-0.74419,2.303
-0.71968,2.206
-0.68941,2.1107
-0.65347,2.0174
-0.612,1.9264
-0.56515,1.838
-0.51308,1.7527
-0.45599,1.6706
-0.39408,1.592
-0.32757,1.5173
-0.2567,1.4468
-0.18173,1.3806
-0.10293,1.3191
-0.020576,1.2623
0.06503,1.2106
0.15358,1.1642
0.24476,1.1231
0.33824,1.0876
0.43368,1.0577
0.53073,1.0337
